trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2016-07-20,399300.SZ,3237.605,3246.862,3254.507,3232.256,3248.234,-10.629,-0.3272,72701255.0,91367448.9938
2016-07-21,399300.SZ,3252.522,3238.336,3271.373,3238.303,3237.605,14.917,0.4607,86004825.0,107464072.5131
2016-07-22,399300.SZ,3225.162,3251.242,3253.769,3220.893,3252.522,-27.36,-0.8412,86029128.0,107416887.3201
2016-07-25,399300.SZ,3230.885,3220.165,3243.79,3218.141,3225.162,5.723,0.1774,70203185.0,92015844.0353
2016-07-26,399300.SZ,3269.588,3228.234,3269.745,3228.007,3230.885,38.703,1.1979,81051089.0,103745762.7578
2016-07-27,399300.SZ,3218.243,3270.083,3276.511,3157.409,3269.588,-51.345,-1.5704,160188665.0,186928366.4982
2016-07-28,399300.SZ,3221.136,3204.464,3235.781,3195.269,3218.243,2.893,0.0899,112779964.0,137295892.7533
2016-07-29,399300.SZ,3203.93,3217.192,3225.418,3198.683,3221.136,-17.206,-0.5342,88044837.0,103787029.7481
2016-08-01,399300.SZ,3176.809,3196.425,3199.975,3156.748,3203.93,-27.121,-0.8465,87003497.0,98818634.3609
2016-08-02,399300.SZ,3189.052,3173.757,3189.052,3165.542,3176.809,12.243,0.3854,62167639.0,70640763.8419
2016-08-03,399300.SZ,3193.507,3179.684,3197.157,3173.535,3189.052,4.455,0.1397,72864102.0,79754323.3013
2016-08-04,399300.SZ,3201.288,3190.546,3201.553,3170.418,3193.507,7.781,0.2437,73504373.0,86919591.121
2016-08-05,399300.SZ,3205.11,3201.354,3224.873,3192.861,3201.288,3.822,0.1194,77196366.0,94429542.3906
2016-08-08,399300.SZ,3234.183,3199.572,3234.479,3187.252,3205.11,29.073,0.9071,86676051.0,102638114.5974
2016-08-09,399300.SZ,3256.981,3232.603,3257.333,3229.174,3234.183,22.798,0.7049,91065259.0,105924052.4356
2016-08-10,399300.SZ,3243.34,3255.182,3261.86,3242.75,3256.981,-13.641,-0.4188,90430372.0,106157448.0282
2016-08-11,399300.SZ,3233.36,3239.558,3274.026,3232.612,3243.34,-9.98,-0.3077,101041213.0,116996159.0463
2016-08-12,399300.SZ,3294.233,3231.806,3294.233,3231.136,3233.36,60.873,1.8827,116254044.0,129354686.3871
2016-08-15,399300.SZ,3393.423,3303.468,3417.914,3302.377,3294.233,99.19,3.011,220543421.0,258897463.9096
2016-08-16,399300.SZ,3378.245,3403.383,3418.688,3372.02,3393.423,-15.178,-0.4473,196389740.0,226785231.0847
2016-08-17,399300.SZ,3373.047,3377.771,3394.388,3356.924,3378.245,-5.198,-0.1539,138847688.0,167917530.8558
2016-08-18,399300.SZ,3364.485,3369.947,3394.791,3349.687,3373.047,-8.562,-0.2538,142380169.0,172256533.0003
2016-08-19,399300.SZ,3365.019,3358.555,3374.045,3341.192,3364.485,0.534,0.0159,119961508.0,135382706.2928
2016-08-22,399300.SZ,3336.794,3364.681,3372.833,3335.469,3365.019,-28.225,-0.8388,107951008.0,128201783.8121
2016-08-23,399300.SZ,3341.829,3332.621,3359.647,3324.96,3336.794,5.035,0.1509,92924516.0,108503692.3773
2016-08-24,399300.SZ,3329.863,3341.93,3348.129,3323.725,3341.829,-11.966,-0.3581,81191429.0,94012832.1998
2016-08-25,399300.SZ,3308.972,3314.084,3315.081,3279.806,3329.863,-20.891,-0.6274,100589153.0,112578140.0103
2016-08-26,399300.SZ,3307.09,3312.499,3328.945,3301.735,3308.972,-1.882,-0.0569,81530691.0,93213205.5596
2016-08-29,399300.SZ,3307.781,3306.574,3315.078,3297.069,3307.09,0.691,0.0209,77036333.0,88011642.022
2016-08-30,399300.SZ,3311.987,3310.318,3325.121,3304.596,3307.781,4.206,0.1272,75725987.0,89513016.6674
2016-08-31,399300.SZ,3327.793,3310.565,3333.972,3304.655,3311.987,15.806,0.4772,79570805.0,99215044.4452
2016-09-01,399300.SZ,3301.576,3326.738,3329.345,3301.212,3327.793,-26.217,-0.7878,84947219.0,100911462.8227
2016-09-02,399300.SZ,3314.114,3298.721,3320.425,3295.755,3301.576,12.538,0.3798,82791803.0,99396378.5835
2016-09-05,399300.SZ,3319.68,3321.005,3338.419,3314.629,3314.114,5.566,0.1679,78292477.0,87531089.6452
2016-09-06,399300.SZ,3342.625,3322.018,3347.951,3300.125,3319.68,22.945,0.6912,98283998.0,118366533.4264
2016-09-07,399300.SZ,3340.817,3344.065,3357.356,3337.75,3342.625,-1.808,-0.0541,102940106.0,115119908.6169
2016-09-08,399300.SZ,3339.564,3338.008,3343.395,3328.226,3340.817,-1.253,-0.0375,71916158.0,83742346.8497
2016-09-09,399300.SZ,3318.044,3339.373,3344.951,3318.044,3339.564,-21.52,-0.6444,82657036.0,95471188.732
2016-09-12,399300.SZ,3262.604,3271.87,3276.716,3234.573,3318.044,-55.44,-1.6709,122917682.0,134456630.9269
2016-09-13,399300.SZ,3260.333,3265.337,3269.222,3246.385,3262.604,-2.271,-0.0696,67180288.0,76862644.2312
2016-09-14,399300.SZ,3238.729,3245.737,3254.995,3231.335,3260.333,-21.604,-0.6626,70432697.0,79780746.4362
2016-09-19,399300.SZ,3263.124,3242.742,3264.899,3242.742,3238.729,24.395,0.7532,58831082.0,67678031.6418
2016-09-20,399300.SZ,3257.403,3264.664,3265.035,3252.388,3263.124,-5.721,-0.1753,52784206.0,61626150.8176
2016-09-21,399300.SZ,3266.636,3257.709,3270.902,3254.321,3257.403,9.233,0.2834,59142979.0,68957744.0436
2016-09-22,399300.SZ,3291.121,3281.471,3303.199,3277.979,3266.636,24.485,0.7495,75753542.0,89991761.6548
2016-09-23,399300.SZ,3275.666,3292.278,3293.916,3275.025,3291.121,-15.455,-0.4696,57993986.0,68046257.25
2016-09-26,399300.SZ,3220.283,3267.69,3267.69,3220.283,3275.666,-55.383,-1.6907,70452186.0,78700835.1319
2016-09-27,399300.SZ,3240.754,3214.87,3240.775,3214.441,3220.283,20.471,0.6357,58460550.0,66651130.3613
2016-09-28,399300.SZ,3230.89,3243.647,3243.647,3227.996,3240.754,-9.864,-0.3044,44727498.0,51996404.7521
2016-09-29,399300.SZ,3244.387,3234.857,3257.766,3234.803,3230.89,13.497,0.4177,55452556.0,62220302.3122
2016-09-30,399300.SZ,3253.284,3240.177,3260.94,3239.036,3244.387,8.897,0.2742,44978022.0,52655734.5529
2016-10-10,399300.SZ,3293.868,3265.364,3294.64,3258.958,3253.284,40.584,1.2475,80519260.0,89607989.8962
2016-10-11,399300.SZ,3306.557,3296.867,3308.004,3292.877,3293.868,12.689,0.3852,87713163.0,88213421.1829
2016-10-12,399300.SZ,3300.009,3299.138,3302.561,3289.753,3306.557,-6.548,-0.198,68669781.0,72386912.6159
2016-10-13,399300.SZ,3302.645,3299.155,3307.409,3292.397,3300.009,2.636,0.0799,81224198.0,79923748.5962
2016-10-14,399300.SZ,3305.848,3298.734,3306.685,3285.729,3302.645,3.203,0.097,82316271.0,81485597.8063
2016-10-17,399300.SZ,3277.878,3305.963,3309.009,3271.541,3305.848,-27.97,-0.8461,86113509.0,88199418.9363
2016-10-18,399300.SZ,3321.332,3272.681,3321.332,3272.681,3277.878,43.454,1.3257,102860714.0,104625044.1417
2016-10-19,399300.SZ,3316.24,3323.303,3332.52,3309.831,3321.332,-5.092,-0.1533,101167725.0,96354442.1985
2016-10-20,399300.SZ,3318.604,3317.179,3324.903,3312.174,3316.24,2.364,0.0713,79238871.0,82481095.2767
